,#,Name,Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
134,133,Nathan Eovaldi,TEX,6.0,2.0,2.6,10.0,10.0,2.0,1.0,0.0,0.0,0.0,69.1,264.0,56.0,21.0,20.0,3.0,11.0,0.0,1.0,2.0,0.0,66.0
135,134,Drew Rasmussen,TBR,4.0,2.0,2.62,8.0,8.0,0.0,0.0,0.0,0.0,0.0,44.2,177.0,36.0,13.0,13.0,2.0,11.0,0.0,1.0,2.0,0.0,47.0
136,135,Dustin May,LAD,4.0,1.0,2.63,9.0,9.0,0.0,0.0,0.0,0.0,0.0,48.0,187.0,29.0,14.0,14.0,1.0,16.0,0.0,2.0,1.0,0.0,34.0
137,136,Adbert Alzolay,CHC,1.0,3.0,2.63,19.0,0.0,0.0,0.0,1.0,5.0,0.0,24.0,91.0,18.0,9.0,7.0,2.0,4.0,0.0,0.0,0.0,1.0,22.0
138,137,Ben Lively,CIN,2.0,2.0,2.65,4.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,66.0,12.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,18.0
139,138,Justin Topa,SEA,0.0,2.0,2.66,22.0,0.0,0.0,0.0,1.0,9.0,1.0,20.1,82.0,16.0,7.0,6.0,1.0,7.0,3.0,0.0,0.0,0.0,20.0
140,139,Jacob deGrom,TEX,2.0,0.0,2.67,6.0,6.0,0.0,0.0,0.0,0.0,0.0,30.1,115.0,19.0,11.0,9.0,2.0,4.0,0.0,0.0,1.0,0.0,45.0
141,140,Luis Castillo,SEA,4.0,2.0,2.69,11.0,11.0,0.0,0.0,0.0,0.0,0.0,63.2,255.0,48.0,21.0,19.0,6.0,15.0,0.0,2.0,1.0,0.0,76.0
142,141,Luis Ortiz,PHI,0.0,0.0,2.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,42.0,10.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0
143,142,Bryse Wilson,MIL,1.0,0.0,2.7,15.0,0.0,0.0,0.0,2.0,2.0,1.0,26.2,109.0,21.0,9.0,8.0,2.0,8.0,0.0,1.0,1.0,0.0,24.0
144,143,Jonathan Loaisiga,NYY,0.0,0.0,2.7,3.0,0.0,0.0,0.0,0.0,2.0,0.0,3.1,13.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
145,144,Shelby Miller,LAD,1.0,0.0,2.74,19.0,0.0,0.0,0.0,1.0,2.0,0.0,23.0,92.0,8.0,7.0,7.0,2.0,15.0,1.0,1.0,0.0,0.0,23.0
146,145,Logan Webb,SFG,4.0,5.0,2.75,11.0,11.0,0.0,0.0,0.0,0.0,0.0,72.0,283.0,63.0,25.0,22.0,8.0,14.0,0.0,2.0,0.0,0.0,76.0
147,146,Justin Steele,CHC,6.0,2.0,2.77,11.0,11.0,0.0,0.0,0.0,0.0,0.0,65.0,262.0,56.0,23.0,20.0,2.0,16.0,0.0,4.0,2.0,1.0,57.0
148,147,Josiah Gray,WSN,4.0,5.0,2.77,11.0,11.0,0.0,0.0,0.0,0.0,0.0,61.2,267.0,56.0,20.0,19.0,6.0,31.0,1.0,2.0,3.0,0.0,51.0
149,148,Carl Edwards Jr.,WSN,1.0,2.0,2.78,24.0,0.0,0.0,0.0,1.0,11.0,2.0,22.2,98.0,19.0,8.0,7.0,1.0,12.0,1.0,1.0,2.0,0.0,16.0
150,149,Yonny Chirinos,TBR,2.0,1.0,2.79,7.0,1.0,0.0,0.0,0.0,1.0,0.0,29.0,113.0,17.0,9.0,9.0,2.0,11.0,0.0,1.0,1.0,0.0,11.0
151,150,Collin McHugh,ATL,2.0,0.0,2.79,14.0,1.0,0.0,0.0,0.0,4.0,0.0,19.1,89.0,26.0,9.0,6.0,0.0,9.0,0.0,2.0,0.0,0.0,11.0
152,151,Buck Farmer,CIN,1.0,3.0,2.81,22.0,0.0,0.0,0.0,0.0,2.0,2.0,25.2,99.0,14.0,8.0,8.0,3.0,9.0,0.0,1.0,0.0,0.0,24.0
153,152,Jon Gray,TEX,5.0,1.0,2.81,10.0,10.0,0.0,0.0,0.0,0.0,0.0,57.2,231.0,45.0,19.0,18.0,8.0,19.0,0.0,3.0,3.0,0.0,46.0
154,153,Nick Martinez,SDP,2.0,2.0,2.82,17.0,4.0,0.0,0.0,1.0,3.0,2.0,44.2,182.0,36.0,16.0,14.0,4.0,16.0,1.0,0.0,1.0,0.0,37.0
155,154,Ryan Helsley,STL,3.0,3.0,2.82,19.0,0.0,0.0,0.0,6.0,2.0,3.0,22.1,92.0,17.0,8.0,7.0,1.0,9.0,1.0,1.0,2.0,1.0,29.0
156,155,Jesse Scholtens,CHW,0.0,2.0,2.84,4.0,1.0,0.0,0.0,0.0,0.0,0.0,12.2,52.0,10.0,5.0,4.0,0.0,6.0,0.0,0.0,1.0,0.0,8.0
157,156,Aaron Civale,CLE,1.0,1.0,2.84,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12.2,50.0,11.0,4.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0
158,157,Jake Bird,COL,1.0,0.0,2.86,25.0,0.0,0.0,0.0,0.0,2.0,2.0,34.2,145.0,29.0,14.0,11.0,2.0,12.0,0.0,2.0,1.0,0.0,36.0
159,158,Chris Devenski,LAA,2.0,0.0,2.87,12.0,0.0,0.0,0.0,0.0,4.0,1.0,15.2,54.0,9.0,5.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,16.0
160,159,Tanner Bibee,CLE,1.0,1.0,2.88,6.0,6.0,0.0,0.0,0.0,0.0,0.0,34.1,136.0,28.0,11.0,11.0,2.0,9.0,0.0,2.0,1.0,0.0,34.0
161,160,Aroldis Chapman,KCR,1.0,2.0,2.89,20.0,0.0,0.0,0.0,2.0,6.0,2.0,18.2,78.0,12.0,7.0,6.0,0.0,12.0,0.0,0.0,0.0,1.0,31.0
162,161,Shohei Ohtani,LAA,5.0,1.0,2.91,11.0,11.0,0.0,0.0,0.0,0.0,0.0,65.0,257.0,34.0,22.0,21.0,8.0,28.0,0.0,8.0,9.0,0.0,90.0
163,162,Drew Smyly,CHC,5.0,1.0,2.93,10.0,10.0,0.0,0.0,0.0,0.0,0.0,55.1,219.0,42.0,19.0,18.0,6.0,12.0,0.0,2.0,1.0,1.0,51.0
164,163,Gabe Speier,SEA,1.0,1.0,2.95,24.0,0.0,0.0,0.0,0.0,6.0,0.0,18.1,69.0,16.0,6.0,6.0,0.0,2.0,1.0,1.0,1.0,0.0,16.0
165,164,Marcus Stroman,CHC,4.0,4.0,2.95,11.0,11.0,0.0,0.0,0.0,0.0,0.0,64.0,254.0,47.0,21.0,21.0,5.0,23.0,0.0,1.0,1.0,0.0,54.0
166,165,Ryan Pressly,HOU,0.0,2.0,2.95,22.0,0.0,0.0,0.0,10.0,0.0,0.0,21.1,78.0,15.0,7.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,22.0
167,166,Alex Young,CIN,0.0,0.0,2.95,22.0,0.0,0.0,0.0,0.0,6.0,1.0,21.1,89.0,21.0,7.0,7.0,3.0,3.0,0.0,1.0,0.0,0.0,26.0
168,167,Steven Wilson,SDP,1.0,0.0,2.96,23.0,0.0,0.0,0.0,0.0,9.0,1.0,24.1,98.0,15.0,8.0,8.0,3.0,12.0,0.0,1.0,0.0,0.0,28.0
169,168,Spencer Strider,ATL,4.0,2.0,2.97,10.0,10.0,0.0,0.0,0.0,0.0,0.0,57.2,234.0,39.0,22.0,19.0,5.0,21.0,1.0,3.0,2.0,2.0,97.0
170,169,Zac Gallen,ARI,6.0,2.0,2.97,11.0,11.0,0.0,0.0,0.0,0.0,0.0,66.2,265.0,54.0,26.0,22.0,2.0,14.0,0.0,1.0,3.0,1.0,75.0
171,170,Merrill Kelly,ARI,5.0,3.0,2.98,10.0,10.0,0.0,0.0,0.0,0.0,0.0,57.1,227.0,39.0,23.0,19.0,5.0,23.0,0.0,2.0,3.0,1.0,59.0
172,171,Jay Jackson,TOR,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0
173,172,Dylan Covey,- - -,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,39.0,10.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0
174,173,Deivi Garcia,NYY,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,12.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
175,174,Eduardo Salazar,CIN,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
176,175,Nick Mears,COL,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,4.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0
177,176,Jose Butto,NYM,0.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,56.0,10.0,4.0,4.0,1.0,11.0,0.0,0.0,0.0,0.0,5.0
178,177,Clay Holmes,NYY,3.0,2.0,3.0,23.0,0.0,0.0,0.0,5.0,3.0,2.0,21.0,93.0,21.0,7.0,7.0,0.0,8.0,0.0,2.0,3.0,0.0,27.0
179,178,Garrett Cleavinger,TBR,1.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,48.0,6.0,5.0,4.0,2.0,6.0,0.0,1.0,1.0,0.0,14.0
180,179,Mitch Keller,PIT,6.0,1.0,3.01,11.0,11.0,1.0,1.0,0.0,0.0,0.0,68.2,279.0,54.0,27.0,23.0,7.0,16.0,0.0,4.0,0.0,1.0,85.0
181,180,Kevin Gausman,TOR,3.0,3.0,3.03,11.0,11.0,0.0,0.0,0.0,0.0,0.0,68.1,279.0,61.0,28.0,23.0,6.0,16.0,0.0,0.0,3.0,0.0,89.0
182,181,Shane Bieber,CLE,4.0,3.0,3.04,11.0,11.0,1.0,0.0,0.0,0.0,0.0,71.0,292.0,68.0,25.0,24.0,7.0,19.0,0.0,1.0,5.0,1.0,49.0
183,182,Andrew Nardi,MIA,3.0,1.0,3.04,26.0,0.0,0.0,0.0,1.0,2.0,1.0,23.2,97.0,19.0,9.0,8.0,4.0,9.0,2.0,1.0,0.0,0.0,26.0
184,183,Cristian Javier,HOU,5.0,1.0,3.07,10.0,10.0,0.0,0.0,0.0,0.0,0.0,58.2,230.0,43.0,21.0,20.0,8.0,13.0,0.0,1.0,2.0,0.0,64.0
185,184,A.J. Puk,MIA,3.0,1.0,3.07,15.0,0.0,0.0,0.0,6.0,0.0,1.0,14.2,65.0,15.0,7.0,5.0,2.0,3.0,0.0,1.0,0.0,0.0,19.0
186,185,Kevin Ginkel,ARI,1.0,0.0,3.09,20.0,0.0,0.0,0.0,0.0,1.0,0.0,23.1,98.0,21.0,12.0,8.0,1.0,8.0,0.0,1.0,3.0,1.0,21.0
187,186,Bryan Baker,BAL,3.0,2.0,3.09,25.0,0.0,0.0,0.0,0.0,9.0,1.0,23.1,97.0,16.0,9.0,8.0,1.0,14.0,2.0,1.0,3.0,0.0,28.0
188,187,Kendall Graveman,CHW,1.0,2.0,3.1,21.0,0.0,0.0,0.0,4.0,6.0,0.0,20.1,82.0,12.0,8.0,7.0,3.0,9.0,0.0,2.0,1.0,0.0,20.0
189,188,Dylan Lee,ATL,1.0,0.0,3.1,20.0,1.0,0.0,0.0,0.0,6.0,0.0,20.1,85.0,18.0,9.0,7.0,2.0,7.0,0.0,0.0,0.0,0.0,23.0
190,189,JT Chargois,MIA,1.0,0.0,3.12,10.0,0.0,0.0,0.0,0.0,2.0,0.0,8.2,31.0,4.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0
191,190,Hunter Brown,HOU,5.0,1.0,3.12,10.0,10.0,0.0,0.0,0.0,0.0,0.0,57.2,235.0,51.0,24.0,20.0,4.0,18.0,0.0,4.0,1.0,0.0,66.0
192,191,Jordan Romano,TOR,3.0,2.0,3.15,21.0,0.0,0.0,0.0,11.0,1.0,3.0,20.0,85.0,18.0,7.0,7.0,2.0,6.0,2.0,1.0,0.0,0.0,24.0
193,192,Amir Garrett,KCR,0.0,0.0,3.15,22.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,93.0,20.0,7.0,7.0,2.0,17.0,0.0,0.0,0.0,0.0,22.0
194,193,Tyler Mahle,MIN,1.0,2.0,3.16,5.0,5.0,0.0,0.0,0.0,0.0,0.0,25.2,102.0,22.0,11.0,9.0,5.0,5.0,0.0,0.0,0.0,0.0,28.0
195,194,Zach Eflin,TBR,7.0,1.0,3.17,9.0,9.0,0.0,0.0,0.0,0.0,0.0,54.0,211.0,48.0,19.0,19.0,8.0,7.0,0.0,1.0,0.0,0.0,52.0
196,195,Domingo Tapia,SDP,0.0,1.0,3.18,10.0,0.0,0.0,0.0,1.0,1.0,0.0,11.1,50.0,9.0,5.0,4.0,2.0,7.0,1.0,1.0,0.0,0.0,12.0
197,196,Paul Sewald,SEA,2.0,0.0,3.18,23.0,0.0,0.0,0.0,11.0,0.0,0.0,22.2,87.0,15.0,8.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,30.0
198,197,Trevor Megill,MIL,0.0,0.0,3.18,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,23.0,4.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,10.0
199,198,Matt Strahm,PHI,4.0,3.0,3.22,13.0,7.0,0.0,0.0,1.0,1.0,1.0,36.1,143.0,26.0,13.0,13.0,4.0,10.0,0.0,1.0,1.0,1.0,51.0
200,199,Brent Headrick,MIN,0.0,0.0,3.24,3.0,0.0,0.0,0.0,1.0,0.0,0.0,8.1,33.0,4.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,12.0
201,200,Brooks Raley,NYM,1.0,0.0,3.24,20.0,0.0,0.0,0.0,1.0,11.0,1.0,16.2,71.0,12.0,6.0,6.0,3.0,6.0,0.0,4.0,0.0,0.0,16.0
202,201,Jake Cousins,MIL,0.0,0.0,3.24,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,38.0,7.0,3.0,3.0,1.0,8.0,0.0,0.0,1.0,0.0,7.0
203,202,Elvis Peguero,MIL,0.0,0.0,3.24,12.0,0.0,0.0,0.0,0.0,2.0,0.0,16.2,69.0,13.0,6.0,6.0,1.0,5.0,0.0,1.0,0.0,0.0,14.0
204,203,Andrew Chafin,ARI,2.0,1.0,3.26,24.0,0.0,0.0,0.0,7.0,5.0,2.0,19.1,81.0,17.0,7.0,7.0,2.0,6.0,0.0,0.0,1.0,0.0,29.0
205,204,Cionel Perez,BAL,1.0,1.0,3.26,22.0,0.0,0.0,0.0,0.0,7.0,0.0,19.1,92.0,24.0,8.0,7.0,0.0,10.0,2.0,1.0,0.0,0.0,14.0
206,205,Nick Sandlin,CLE,2.0,2.0,3.26,19.0,0.0,0.0,0.0,0.0,1.0,1.0,19.1,71.0,9.0,9.0,7.0,3.0,6.0,1.0,0.0,0.0,0.0,18.0
207,206,Taylor Clarke,KCR,1.0,0.0,3.28,22.0,1.0,0.0,0.0,0.0,5.0,0.0,24.2,105.0,24.0,10.0,9.0,3.0,9.0,0.0,1.0,1.0,0.0,29.0
208,207,Kutter Crawford,BOS,1.0,2.0,3.3,9.0,2.0,0.0,0.0,0.0,1.0,0.0,30.0,118.0,23.0,11.0,11.0,6.0,4.0,0.0,0.0,1.0,0.0,30.0
209,208,Logan Allen,CLE,1.0,2.0,3.31,6.0,6.0,0.0,0.0,0.0,0.0,0.0,32.2,146.0,38.0,13.0,12.0,3.0,9.0,0.0,0.0,0.0,0.0,33.0
210,209,Clayton Kershaw,LAD,6.0,4.0,3.32,11.0,11.0,0.0,0.0,0.0,0.0,0.0,62.1,255.0,55.0,26.0,23.0,8.0,16.0,0.0,2.0,2.0,2.0,75.0
211,210,Andrew Wantz,LAA,1.0,0.0,3.32,14.0,0.0,0.0,0.0,0.0,3.0,2.0,21.2,85.0,13.0,9.0,8.0,1.0,8.0,0.0,1.0,0.0,0.0,20.0
212,211,Carlos Hernandez,KCR,0.0,1.0,3.33,22.0,2.0,0.0,0.0,0.0,3.0,1.0,27.0,109.0,21.0,10.0,10.0,3.0,8.0,0.0,0.0,1.0,2.0,36.0
213,212,Tanner Banks,CHW,0.0,0.0,3.38,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,31.0,6.0,3.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0
214,213,Mason Miller,OAK,0.0,2.0,3.38,4.0,4.0,0.0,0.0,0.0,0.0,0.0,21.1,85.0,14.0,8.0,8.0,1.0,7.0,0.0,2.0,2.0,0.0,22.0
215,214,Erik Swanson,TOR,2.0,2.0,3.38,24.0,0.0,0.0,0.0,0.0,11.0,0.0,24.0,96.0,13.0,9.0,9.0,4.0,13.0,0.0,0.0,0.0,0.0,30.0
216,215,Brad Hand,COL,2.0,1.0,3.38,20.0,0.0,0.0,0.0,0.0,1.0,0.0,18.2,78.0,16.0,7.0,7.0,0.0,7.0,1.0,2.0,3.0,0.0,26.0
217,216,Dylan Floro,MIA,3.0,2.0,3.38,24.0,0.0,0.0,0.0,5.0,5.0,2.0,24.0,96.0,22.0,11.0,9.0,2.0,6.0,1.0,1.0,0.0,0.0,23.0
218,217,Brent Honeywell,SDP,2.0,2.0,3.38,19.0,0.0,0.0,0.0,0.0,3.0,2.0,26.2,112.0,22.0,11.0,10.0,4.0,10.0,0.0,1.0,0.0,1.0,23.0
219,218,Brennan Bernardino,BOS,1.0,0.0,3.38,12.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,58.0,14.0,6.0,5.0,2.0,4.0,0.0,1.0,0.0,0.0,11.0
220,219,Chi Chi Gonzalez,MIA,0.0,0.0,3.38,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,13.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
221,220,Michael Tonkin,ATL,3.0,2.0,3.42,13.0,0.0,0.0,0.0,0.0,1.0,2.0,26.1,103.0,19.0,13.0,10.0,4.0,6.0,0.0,0.0,1.0,0.0,19.0
222,221,George Kirby,SEA,5.0,4.0,3.43,10.0,10.0,1.0,0.0,0.0,0.0,0.0,63.0,254.0,63.0,24.0,24.0,7.0,6.0,0.0,2.0,1.0,0.0,51.0
223,222,J.P. France,HOU,1.0,1.0,3.43,4.0,4.0,0.0,0.0,0.0,0.0,0.0,21.0,89.0,20.0,9.0,8.0,5.0,5.0,0.0,1.0,1.0,0.0,18.0
224,223,Anthony DeSclafani,SFG,3.0,4.0,3.43,10.0,10.0,0.0,0.0,0.0,0.0,0.0,60.1,245.0,54.0,27.0,23.0,6.0,9.0,0.0,2.0,1.0,0.0,47.0
225,224,Kirby Yates,ATL,1.0,0.0,3.44,19.0,0.0,0.0,0.0,0.0,3.0,0.0,18.1,83.0,12.0,7.0,7.0,3.0,15.0,1.0,0.0,3.0,0.0,24.0
226,225,Kenley Jansen,BOS,1.0,2.0,3.45,17.0,0.0,0.0,0.0,11.0,0.0,3.0,15.2,71.0,14.0,7.0,6.0,1.0,10.0,1.0,0.0,0.0,0.0,18.0
227,226,Michael Wacha,SDP,5.0,1.0,3.45,10.0,10.0,0.0,0.0,0.0,0.0,0.0,57.1,231.0,49.0,22.0,22.0,5.0,14.0,0.0,2.0,3.0,0.0,49.0
228,227,Patrick Sandoval,LAA,3.0,3.0,3.47,9.0,9.0,0.0,0.0,0.0,0.0,0.0,49.1,213.0,41.0,23.0,19.0,3.0,20.0,1.0,2.0,3.0,0.0,34.0
229,228,Tyler Wells,BAL,3.0,1.0,3.47,10.0,9.0,0.0,0.0,0.0,0.0,0.0,57.0,218.0,36.0,22.0,22.0,13.0,12.0,0.0,1.0,0.0,1.0,54.0
230,229,Ryan Weber,NYY,1.0,0.0,3.48,6.0,0.0,0.0,0.0,1.0,1.0,0.0,10.1,45.0,14.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0
231,230,Matt Barnes,MIA,1.0,0.0,3.48,22.0,1.0,0.0,0.0,0.0,2.0,1.0,20.2,91.0,21.0,8.0,8.0,2.0,8.0,1.0,1.0,2.0,1.0,19.0
232,231,Michael Lorenzen,DET,2.0,2.0,3.5,8.0,8.0,0.0,0.0,0.0,0.0,0.0,46.1,186.0,39.0,20.0,18.0,6.0,12.0,0.0,1.0,0.0,1.0,35.0
233,232,Will Smith,TEX,0.0,2.0,3.5,18.0,0.0,0.0,0.0,9.0,4.0,1.0,18.0,71.0,12.0,8.0,7.0,1.0,6.0,2.0,0.0,0.0,0.0,22.0
234,233,Alex Wood,SFG,1.0,0.0,3.51,7.0,6.0,0.0,0.0,0.0,0.0,0.0,25.2,116.0,24.0,12.0,10.0,3.0,13.0,0.0,2.0,0.0,1.0,26.0
235,234,Drew VerHagen,STL,3.0,0.0,3.51,23.0,0.0,0.0,0.0,0.0,6.0,0.0,25.2,109.0,20.0,11.0,10.0,1.0,10.0,1.0,0.0,3.0,1.0,27.0
236,235,Sammy Long,OAK,0.0,0.0,3.52,11.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,61.0,12.0,6.0,6.0,1.0,5.0,0.0,1.0,0.0,0.0,11.0
237,236,JoJo Romero,STL,0.0,0.0,3.52,6.0,0.0,0.0,0.0,0.0,0.0,1.0,7.2,30.0,4.0,3.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0
238,237,Max Scherzer,NYM,4.0,2.0,3.54,8.0,8.0,0.0,0.0,0.0,0.0,0.0,40.2,164.0,33.0,16.0,16.0,7.0,13.0,0.0,1.0,1.0,0.0,39.0
239,238,Jason Adam,TBR,1.0,1.0,3.54,23.0,0.0,0.0,0.0,6.0,5.0,3.0,20.1,89.0,17.0,11.0,8.0,4.0,7.0,0.0,3.0,0.0,0.0,26.0
240,239,Brock Burke,TEX,2.0,2.0,3.54,17.0,0.0,0.0,0.0,0.0,6.0,0.0,20.1,82.0,18.0,9.0,8.0,3.0,4.0,1.0,1.0,0.0,0.0,15.0
241,240,Brandon Bielak,HOU,1.0,2.0,3.55,5.0,4.0,0.0,0.0,0.0,0.0,0.0,25.1,109.0,30.0,11.0,10.0,6.0,9.0,0.0,0.0,1.0,0.0,22.0
242,241,Scott McGough,ARI,0.0,4.0,3.58,25.0,0.0,0.0,0.0,1.0,10.0,3.0,27.2,110.0,15.0,12.0,11.0,5.0,11.0,2.0,1.0,1.0,0.0,31.0
243,242,Josh Fleming,TBR,1.0,0.0,3.59,10.0,2.0,0.0,0.0,0.0,0.0,0.0,42.2,175.0,39.0,17.0,17.0,4.0,17.0,1.0,0.0,2.0,0.0,21.0
244,243,Charlie Morton,ATL,5.0,5.0,3.59,10.0,10.0,0.0,0.0,0.0,0.0,0.0,57.2,257.0,61.0,25.0,23.0,6.0,24.0,1.0,2.0,0.0,2.0,63.0
245,244,Zack Wheeler,PHI,4.0,4.0,3.6,11.0,11.0,0.0,0.0,0.0,0.0,0.0,65.0,274.0,59.0,29.0,26.0,4.0,15.0,0.0,5.0,1.0,0.0,76.0
246,245,Logan Gilbert,SEA,3.0,2.0,3.6,10.0,10.0,0.0,0.0,0.0,0.0,0.0,60.0,233.0,45.0,24.0,24.0,6.0,10.0,0.0,0.0,5.0,0.0,69.0
247,246,Emmanuel Clase,CLE,1.0,4.0,3.6,26.0,0.0,0.0,0.0,17.0,0.0,5.0,25.0,106.0,27.0,15.0,10.0,1.0,5.0,0.0,0.0,3.0,0.0,18.0
248,247,Brandon Hughes,CHC,0.0,2.0,3.6,12.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,42.0,8.0,4.0,4.0,1.0,4.0,1.0,1.0,0.0,0.0,13.0
249,248,Nick Anderson,ATL,3.0,0.0,3.63,21.0,0.0,0.0,0.0,1.0,8.0,2.0,22.1,84.0,16.0,10.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,27.0
250,249,Jimmy Cordero,NYY,3.0,2.0,3.63,21.0,1.0,0.0,0.0,0.0,3.0,1.0,22.1,89.0,16.0,9.0,9.0,1.0,6.0,0.0,2.0,4.0,1.0,22.0
251,250,Jeff Brigham,NYM,0.0,1.0,3.63,17.0,0.0,0.0,0.0,0.0,3.0,1.0,17.1,66.0,9.0,7.0,7.0,4.0,5.0,0.0,2.0,0.0,0.0,21.0
252,251,Yu Darvish,SDP,3.0,3.0,3.67,9.0,9.0,0.0,0.0,0.0,0.0,0.0,54.0,219.0,44.0,23.0,22.0,7.0,17.0,0.0,4.0,0.0,1.0,57.0
253,252,Mike Baumann,BAL,4.0,0.0,3.67,23.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,106.0,18.0,11.0,11.0,3.0,13.0,1.0,0.0,4.0,0.0,29.0
254,253,Jesus Luzardo,MIA,4.0,3.0,3.67,11.0,11.0,0.0,0.0,0.0,0.0,0.0,61.1,261.0,66.0,26.0,25.0,8.0,19.0,1.0,1.0,1.0,0.0,70.0
255,254,Wade Miley,MIL,3.0,2.0,3.67,8.0,8.0,0.0,0.0,0.0,0.0,0.0,41.2,171.0,38.0,17.0,17.0,6.0,9.0,0.0,2.0,1.0,0.0,24.0
256,255,Corbin Burnes,MIL,4.0,4.0,3.68,11.0,11.0,0.0,0.0,0.0,0.0,0.0,63.2,265.0,52.0,30.0,26.0,9.0,24.0,0.0,3.0,1.0,0.0,59.0
257,256,Jorge Lopez,MIN,1.0,2.0,3.68,24.0,0.0,0.0,0.0,3.0,6.0,4.0,22.0,95.0,19.0,11.0,9.0,3.0,7.0,3.0,2.0,1.0,0.0,19.0
258,257,Zack Kelly,BOS,0.0,0.0,3.68,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,34.0,6.0,3.0,3.0,0.0,6.0,0.0,2.0,1.0,0.0,6.0
259,258,John Brebbia,SFG,2.0,0.0,3.68,23.0,3.0,0.0,0.0,0.0,6.0,0.0,22.0,89.0,17.0,9.0,9.0,1.0,7.0,1.0,0.0,0.0,0.0,31.0
260,259,Hunter Harvey,WSN,2.0,2.0,3.7,23.0,0.0,0.0,0.0,2.0,10.0,4.0,24.1,94.0,16.0,10.0,10.0,3.0,8.0,0.0,0.0,1.0,1.0,30.0
261,260,Drey Jameson,ARI,2.0,1.0,3.71,6.0,3.0,0.0,0.0,1.0,0.0,0.0,17.0,75.0,14.0,7.0,7.0,3.0,12.0,0.0,0.0,0.0,0.0,16.0
262,261,Domingo German,NYY,2.0,3.0,3.75,9.0,9.0,0.0,0.0,0.0,0.0,0.0,48.0,188.0,28.0,22.0,20.0,7.0,15.0,0.0,2.0,0.0,0.0,49.0
263,262,Andrew Heaney,TEX,4.0,3.0,3.76,10.0,10.0,0.0,0.0,0.0,0.0,0.0,55.0,226.0,42.0,26.0,23.0,9.0,21.0,0.0,5.0,1.0,0.0,55.0
264,263,Jose Leclerc,TEX,0.0,1.0,3.77,16.0,0.0,0.0,0.0,1.0,1.0,2.0,14.1,64.0,12.0,8.0,6.0,2.0,11.0,1.0,0.0,1.0,0.0,15.0
265,264,Chris Bassitt,TOR,5.0,4.0,3.8,11.0,11.0,1.0,1.0,0.0,0.0,0.0,66.1,276.0,50.0,33.0,28.0,11.0,26.0,0.0,7.0,1.0,2.0,57.0
266,265,Tanner Scott,MIA,3.0,1.0,3.8,24.0,0.0,0.0,0.0,2.0,8.0,0.0,23.2,96.0,15.0,10.0,10.0,2.0,13.0,1.0,1.0,0.0,0.0,31.0
